employeeCode,firstName,lastName,email,address,mobileNo,dateOfJoining,dateOfLeaving,accessGroup,departmentID,designationID,functionID,gradeID,locationID,regionID,typeOfEmploymentID,active,sick_leaves,casual_leaves,annual_leaves,other_leaves,leave_type01,leave_type02,leave_type03,leave_type04,leave_type05,leave_type06,leave_type07,leave_type08,leave_type09,leave_type10,leave_type11,photograph,file_01,file_02,file_03,file_04,file_05,emergency_contact_01,emergency_contact_02,description,date_of_birth,father_name,gender,campus_code,program_shift
<090140>,DMC-ooFouro,Ahmed,<->,,,03/12/2020,03/05/2021,<LM>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,3,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090151>,DMC-ooFiveo,Mirza,<->,<->,,03/12/2020,03/08/2021,<LM>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Lecturer>,<NOT ASSIGNED>,<NOT ASSIGNED>,<B>,3,TRUE,1,0,0,0,0,9,0,0,0,0,11,0,0,0,0,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,female,DMC,Morning
<090152>,DMC-ooFiveo,Saeed,<->,,345456443,03/12/2020,03/10/2021,<LM>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<B>,3,TRUE,0,3,0,10,0,0,0,0,0,0,10,0,0,0,0,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,female,DMC,Morning
<090161>,DMC-ooSixo,Manzoor,<->,<->,,03/11/2020,03/11/2021,<LM>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<NOT ASSIGNED>,3,TRUE,0,0,3,0,0,0,0,0,0,0,11,0,0,0,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090162>,DMC-ooSixo,Shah,<->,,345456443,03/11/2020,03/12/2021,<LM>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<NOT ASSIGNED>,3,TRUE,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,<->,DMC,Morning
<090163>,DMC-ooSixo,Shah,<->,,345456443,03/11/2020,03/12/2022,<LM>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<NOT ASSIGNED>,3,TRUE,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,<->,DMC,Morning
<090164>,DMC-ooSixo,Shah,<->,,345456443,03/11/2020,03/11/2022,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<NOT ASSIGNED>,3,TRUE,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,<->,DMC,Morning
<090191>,DMC-ooNineo,Ahmed,<->,,,03/12/2020,03/05/2021,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,3,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090192>,DMC-ooNineo,Ahmed,<->,,,03/12/2020,03/08/2021,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,3,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
<090193>,DMC-ooNineo,Ahmed,<->,,,03/12/2020,03/10/2021,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,3,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning
