employeeCode,firstName,lastName,email,address,mobileNo,dateOfJoining,dateOfLeaving,accessGroup,departmentID,designationID,functionID,gradeID,locationID,regionID,typeOfEmploymentID,active,sick_leaves,casual_leaves,annual_leaves,photograph,file_01,file_02,file_03,file_04,file_05,emergency_contact_01,emergency_contact_02,description,date_of_birth,father_name,campus_code
<000004>,DMC-Zahir,Ahmed,inayat68@gmail.com,,,01/17/2018,,<HR>,<->,<->,<Staff>,<I>,<karachi>,<->,1,TRUE,8,10,20,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,D,DMC
<000006>,DMC-Saad,Munshi,inayat68@gmail.com,abc street,,08/27/2017,,<LM>,<A>,<A>,<Lecturer>,<I>,<->,<A>,1,TRUE,6,5,6,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,A,DMC
<000001>,DMC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DMC
<000002>,DMC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2018,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DMC
<000003>,DMC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2018,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DMC
<000005>,DMC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2018,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DMC
<000007>,DMC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2018,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DMC
<000008>,DMC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2018,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DMC
<000009>,DMC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DMC
<000010>,DMC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2016,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DMC
<000011>,DMC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DMC
<000012>,DMC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2016,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DMC
<000013>,DMC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DMC
<000014>,DMC-Kashif,Manzoor,inayat68@gmail.com,abc street,,01/10/2018,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/2010,C,DMC
<000015>,DMC-Aleem,Shah,inayat68@gmail.com,,345456443,11/02/2015,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc,01/17/1999,,DMC
